type,text,category,mode,trigger,note
reaction,There must be a peaceful alternative.,general,neutral,any,
reaction,I cannot support weapons development.,general,neutral,any,
reaction,The moral cost is too high.,general,neutral,any,
reaction,Consider the long-term consequences.,general,neutral,any,
reaction,That's wasteful of resources.,general,neutral,any,
reaction,We should invest in research instead.,general,neutral,any,
reaction,"From an industrial standpoint, that's inefficient.",general,neutral,any,
reaction,There's a more sustainable approach.,general,neutral,any,
reaction,That technology has peaceful applications.,general,neutral,any,
reaction,I'm concerned about the ethical implications.,general,neutral,any,
reaction,The energy costs are prohibitive.,general,neutral,any,
reaction,We're thinking too short-term.,general,neutral,any,
reaction,That will strain our industrial base.,general,neutral,any,
reaction,There's a constructive alternative here.,general,neutral,any,
reaction,That's the kind of thinking we need.,general,neutral,any,
reaction,I would rather see those resources used for...,general,neutral,any,
reaction,The sustainability concerns me greatly.,general,neutral,any,
reaction,"Let's focus on building, not destroying.",general,neutral,any,
reaction,My family would want us to choose peace.,general,neutral,any,
opener,"CODEX, please share the current state.",neutral,,,
opener,"CODEX, let us review the data.",neutral,,,
opener,"CODEX, what does our industrial position look like?",neutral,,,
opener,"CODEX, report on resource status.",neutral,,,
opener,"CODEX, show me our research progress.",neutral,,,
opener,"CODEX, assess our energy systems.",neutral,,,
opener,"CODEX, what is our production capacity?",neutral,,,
opener,"CODEX, evaluate industrial health.",neutral,,,
opener,"CODEX, MC status please.",neutral,,,
opener,"CODEX, are we sustainable at this level?",neutral,,,
opener,"CODEX, resource chain analysis needed.",neutral,,,
opener,"CODEX, what are our bottlenecks?",neutral,,,
opener,"CODEX, power generation assessment.",neutral,,,
opener,"CODEX, show me the research landscape.",neutral,,,
opener,"CODEX, industrial overview requested.",neutral,,,
opener,"CODEX, where do we stand economically?",neutral,,,
opener,"CODEX, evaluate our mining operations.",neutral,,,
opener,"CODEX, what's our energy efficiency?",neutral,,,
opener,"CODEX, assess production sustainability.",neutral,,,
opener,"CODEX, show current tech progress.",neutral,,,
opener,"CODEX, are we ready for expansion?",neutral,,,
opener,"CODEX, what needs attention industrially?",neutral,,,
opener,"CODEX, resource security status.",neutral,,,
opener,"CODEX, evaluate our infrastructure.",neutral,,,
opener,"CODEX, what's our industrial trajectory?",neutral,,,
opener,"CODEX, assess long-term viability.",neutral,,,
opener,"CODEX, show me system efficiency.",neutral,,,
opener,"CODEX, where are we vulnerable economically?",neutral,,,
opener,"CODEX, evaluate our foundations.",neutral,,,
opener,"CODEX, what would make us more resilient?",neutral,,,
