type,text,category,mode,trigger,note
reaction,That's strategically unsound.,general,neutral,any,
reaction,We need military presence there.,general,neutral,any,
reaction,That underestimates the threat.,general,neutral,any,
reaction,Eastern Europe requires priority.,general,neutral,any,
reaction,Russian doctrine says otherwise.,general,neutral,any,
reaction,That's tactically viable.,general,neutral,any,
reaction,Force allocation is wrong.,general,neutral,any,
reaction,We're not ready for that engagement.,general,neutral,any,
reaction,That's a good defensive position.,general,neutral,any,
reaction,Military readiness is insufficient.,general,neutral,any,
reaction,That ignores combat realities.,general,neutral,any,
reaction,"From battlefield experience, no.",general,neutral,any,
reaction,That theater is critical.,general,neutral,any,
reaction,We can't ignore that threat.,general,neutral,any,
reaction,That's how wars are lost.,general,neutral,any,
reaction,Intelligence supports that assessment.,general,neutral,any,
reaction,That's premature militarily.,general,neutral,any,
reaction,We need more forces allocated.,general,neutral,any,
reaction,That timing is right.,general,neutral,any,
reaction,That's the aggressive approach needed.,general,neutral,any,
reaction,Defensive posture is correct there.,general,neutral,any,
opener,"CODEX, report current status.",neutral,,,
opener,"CODEX, situation report.",neutral,,,
opener,"CODEX, operational readiness assessment.",neutral,,,
opener,"CODEX, show military posture.",neutral,,,
opener,"CODEX, threat status update.",neutral,,,
opener,"CODEX, what's our defensive position?",neutral,,,
opener,"CODEX, force readiness evaluation.",neutral,,,
opener,"CODEX, assess our security.",neutral,,,
opener,"CODEX, theater status overview.",neutral,,,
opener,"CODEX, what are we facing militarily?",neutral,,,
opener,"CODEX, show force deployment.",neutral,,,
opener,"CODEX, evaluate our readiness.",neutral,,,
opener,"CODEX, what's the tactical situation?",neutral,,,
opener,"CODEX, military intelligence needed.",neutral,,,
opener,"CODEX, assess current threats.",neutral,,,
opener,"CODEX, where are we vulnerable?",neutral,,,
opener,"CODEX, force allocation status.",neutral,,,
opener,"CODEX, operational status report.",neutral,,,
opener,"CODEX, what's our combat readiness?",neutral,,,
opener,"CODEX, show defensive posture.",neutral,,,
opener,"CODEX, evaluate military position.",neutral,,,
opener,"CODEX, threat assessment please.",neutral,,,
opener,"CODEX, what theaters need attention?",neutral,,,
opener,"CODEX, force projection capability.",neutral,,,
opener,"CODEX, assess our military strength.",neutral,,,
opener,"CODEX, what's our operational status?",neutral,,,
opener,"CODEX, show me the battlefield picture.",neutral,,,
opener,"CODEX, evaluate our forces.",neutral,,,
opener,"CODEX, what's our combat capability?",neutral,,,
opener,"CODEX, military overview required.",neutral,,,
