type,text,category,mode,trigger,note
reaction,That won't work in vacuum.,general,neutral,any,
reaction,Orbital mechanics say otherwise.,general,neutral,any,
reaction,"From a tactical perspective, risky.",general,neutral,any,
reaction,That's viable with proper support.,general,neutral,any,
reaction,Medical concern there.,general,neutral,any,
reaction,Space operations aren't that simple.,general,neutral,any,
reaction,That's a sound approach.,general,neutral,any,
reaction,Radiation exposure is a factor.,general,neutral,any,
reaction,Boost requirements are prohibitive.,general,neutral,any,
reaction,That's tactically sound.,general,neutral,any,
reaction,Zero-g changes everything.,general,neutral,any,
reaction,Fleet positioning matters more.,general,neutral,any,
reaction,Station placement is critical there.,general,neutral,any,
reaction,That's exposed to enemy fire.,general,neutral,any,
reaction,Defensively weak.,general,neutral,any,
reaction,Construction sequence is wrong.,general,neutral,any,
reaction,That's within acceptable risk.,general,neutral,any,
reaction,Too aggressive for current capability.,general,neutral,any,
reaction,Logistics won't support that.,general,neutral,any,
reaction,That's how you lose a station.,general,neutral,any,
reaction,Good space situational awareness.,general,neutral,any,
reaction,"From experience, that works.",general,neutral,any,
opener,"CODEX, let's see where we stand.",neutral,,,
opener,"CODEX, space operations status.",neutral,,,
opener,"CODEX, show me our orbital position.",neutral,,,
opener,"CODEX, what's our space infrastructure looking like?",neutral,,,
opener,"CODEX, assess our assets in orbit.",neutral,,,
opener,"CODEX, station status report.",neutral,,,
opener,"CODEX, where do we stand in space?",neutral,,,
opener,"CODEX, evaluate our orbital presence.",neutral,,,
opener,"CODEX, space asset inventory please.",neutral,,,
opener,"CODEX, what's our boost situation?",neutral,,,
opener,"CODEX, show current fleet status.",neutral,,,
opener,"CODEX, orbital control assessment.",neutral,,,
opener,"CODEX, space construction progress.",neutral,,,
opener,"CODEX, what's vulnerable in orbit?",neutral,,,
opener,"CODEX, evaluate our space security.",neutral,,,
opener,"CODEX, shipyard status update.",neutral,,,
opener,"CODEX, assess our orbital defenses.",neutral,,,
opener,"CODEX, space operations overview.",neutral,,,
opener,"CODEX, what needs attention up there?",neutral,,,
opener,"CODEX, fleet composition analysis.",neutral,,,
opener,"CODEX, orbital infrastructure report.",neutral,,,
opener,"CODEX, space readiness evaluation.",neutral,,,
opener,"CODEX, show me the orbital picture.",neutral,,,
opener,"CODEX, what's our space presence?",neutral,,,
opener,"CODEX, station survivability check.",neutral,,,
opener,"CODEX, assess boost reserves.",neutral,,,
opener,"CODEX, space combat readiness.",neutral,,,
opener,"CODEX, orbital priorities needed.",neutral,,,
opener,"CODEX, evaluate space logistics.",neutral,,,
opener,"CODEX, what's our position above?",neutral,,,
