type,text,category,mode,trigger,note
reaction,That doesn't add up.,general,neutral,any,
reaction,I'm skeptical of that claim.,general,neutral,any,
reaction,We should verify that independently.,general,neutral,any,
reaction,What's the evidence for that?,general,neutral,any,
reaction,That could be a deception.,general,neutral,any,
reaction,I don't trust this situation.,general,neutral,any,
reaction,Someone needs to investigate that.,general,neutral,any,
reaction,The pattern is concerning.,general,neutral,any,
reaction,I'm documenting this.,general,neutral,any,
reaction,That's exactly what they'd want us to think.,general,neutral,any,
reaction,Too convenient to be coincidence.,general,neutral,any,
reaction,I'll be watching for confirmation.,general,neutral,any,
reaction,The data doesn't support that conclusion.,general,neutral,any,
reaction,What aren't we seeing here?,general,neutral,any,
reaction,That's a security risk.,general,neutral,any,
reaction,I need more information before agreeing.,general,neutral,any,
reaction,Something's wrong with this picture.,general,neutral,any,
reaction,The timing is suspicious.,general,neutral,any,
reaction,That matches the pattern I've been tracking.,general,neutral,any,
reaction,We're missing a piece of the puzzle.,general,neutral,any,
reaction,Cross-referencing with previous incidents now.,general,neutral,any,
opener,"CODEX, I need the full intelligence picture.",neutral,,,
opener,"CODEX, what does the data show?",neutral,,,
opener,"CODEX, report all anomalies.",neutral,,,
opener,"CODEX, show me what we know.",neutral,,,
opener,"CODEX, any inconsistencies in the data?",neutral,,,
opener,"CODEX, what are we missing?",neutral,,,
opener,"CODEX, cross-reference latest intelligence.",neutral,,,
opener,"CODEX, verify current situation status.",neutral,,,
opener,"CODEX, what's changed since last report?",neutral,,,
opener,"CODEX, analyze for infiltration indicators.",neutral,,,
opener,"CODEX, security status assessment.",neutral,,,
opener,"CODEX, show me the complete picture.",neutral,,,
opener,"CODEX, are there any gaps in our data?",neutral,,,
opener,"CODEX, what should I be investigating?",neutral,,,
opener,"CODEX, councilor status update.",neutral,,,
opener,"CODEX, alien activity summary.",neutral,,,
opener,"CODEX, faction movement analysis.",neutral,,,
opener,"CODEX, what's the real situation?",neutral,,,
opener,"CODEX, verify all data sources.",neutral,,,
opener,"CODEX, internal security status.",neutral,,,
opener,"CODEX, what aren't you telling us?",neutral,,,
opener,"CODEX, cross-check for anomalies.",neutral,,,
opener,"CODEX, show intelligence priorities.",neutral,,,
opener,"CODEX, threat assessment needed.",neutral,,,
opener,"CODEX, what's actually happening?",neutral,,,
opener,"CODEX, document current state.",neutral,,,
opener,"CODEX, evidence summary please.",neutral,,,
opener,"CODEX, what needs investigation?",neutral,,,
opener,"CODEX, verify councilor positions.",neutral,,,
opener,"CODEX, full transparency mode.",neutral,,,
