type,text,category,mode,trigger,note
reaction,That will have serious diplomatic consequences.,general,neutral,any,
reaction,Politically unwise timing.,general,neutral,any,
reaction,Consider the stability impact.,general,neutral,any,
reaction,There's a better political angle here.,general,neutral,any,
reaction,That risks everything we've built diplomatically.,general,neutral,any,
reaction,I disagree with this approach entirely.,general,neutral,any,
reaction,The political timing is wrong.,general,neutral,any,
reaction,We can leverage this diplomatically.,general,neutral,any,
reaction,That nation is not ready for that action.,general,neutral,any,
reaction,The economic fallout will be severe.,general,neutral,any,
reaction,Stability must come first.,general,neutral,any,
reaction,This opens new diplomatic opportunities.,general,neutral,any,
reaction,We're overextending politically.,general,neutral,any,
reaction,The federation timing is premature.,general,neutral,any,
reaction,That's the aggressive move we need.,general,neutral,any,
reaction,Too cautious - we should push harder.,general,neutral,any,
reaction,The bloc dynamics don't support this.,general,neutral,any,
reaction,We need to consolidate before expanding.,general,neutral,any,
reaction,That's within acceptable political risk.,general,neutral,any,
reaction,I would recommend a different nation entirely.,general,neutral,any,
opener,"CODEX, provide situational assessment.",neutral,,,
opener,"CODEX, strategic overview.",neutral,,,
opener,"CODEX, current state analysis.",neutral,,,
opener,"CODEX, what is our global position?",neutral,,,
opener,"CODEX, evaluate our political standing.",neutral,,,
opener,"CODEX, report on national control status.",neutral,,,
opener,"CODEX, assess our diplomatic leverage.",neutral,,,
opener,"CODEX, where do we stand politically?",neutral,,,
opener,"CODEX, analyze current stability indicators.",neutral,,,
opener,"CODEX, summary of our influence operations.",neutral,,,
opener,"CODEX, what's our control distribution?",neutral,,,
opener,"CODEX, evaluate economic positioning.",neutral,,,
opener,"CODEX, assess federation opportunities.",neutral,,,
opener,"CODEX, review our geopolitical status.",neutral,,,
opener,"CODEX, what are our diplomatic priorities?",neutral,,,
opener,"CODEX, show me the political landscape.",neutral,,,
opener,"CODEX, brief me on national developments.",neutral,,,
opener,"CODEX, evaluate our territorial position.",neutral,,,
opener,"CODEX, what's the state of our influence?",neutral,,,
opener,"CODEX, analyze bloc dynamics.",neutral,,,
opener,"CODEX, where can we expand control?",neutral,,,
opener,"CODEX, assess our stability risks.",neutral,,,
opener,"CODEX, evaluate consolidation opportunities.",neutral,,,
opener,"CODEX, what nations require attention?",neutral,,,
opener,"CODEX, brief on federation status.",neutral,,,
opener,"CODEX, show current power distribution.",neutral,,,
opener,"CODEX, evaluate our economic foundations.",neutral,,,
opener,"CODEX, what's our strategic position?",neutral,,,
opener,"CODEX, assess global political trends.",neutral,,,
opener,"CODEX, provide national control breakdown.",neutral,,,
